date,open,high,low,close,volume
2025-03-24,96.97,97.7,95.15,97.2,46779000
2025-03-25,97.82,99.87,97.71,99.73,37822000
2025-03-26,99.38,99.68,96.63,97.07,35274000
2025-03-27,97.42,98.9,96.64,97.67,30472000
2025-03-28,97.2,97.5,92.92,93.39,44227000
2025-03-31,92.05,93.45,90.06,93.25,46341000
2025-04-01,92.75,93.23,91.15,92.84,35200000
2025-04-02,92.3,94.96,91.61,93.55,32569000
2025-04-03,90.18,94.66,90.05,91.71,58646000
2025-04-04,89.65,90.66,85.39,85.59,67988000
2025-04-07,82.79,90.67,82.11,86.78,66568000
2025-04-08,91.24,92.24,85.77,87.04,56254000
2025-04-09,85.59,95.14,85.44,94.55,74980000
2025-04-10,93.19,94.12,89.4,92.12,51298000
2025-04-11,92.0,94.49,90.67,91.83,40736000
2025-04-14,93.27,94.9,91.95,93.13,40359000
2025-04-15,95.0,99.35,94.8,97.63,77120000
2025-04-16,97.63,98.12,94.92,96.16,60661000
2025-04-17,96.9,98.47,95.6,97.3,88937000
2025-04-21,98.44,101.9,97.31,98.79,97757000
2025-04-22,100.53,106.5,100.45,104.03,93689000
2025-04-23,104.72,106.12,103.2,104.96,64719000
2025-04-24,104.8,110.1,104.7,109.69,63819000
2025-04-25,109.7,110.68,109.1,110.15,39500000
2025-04-28,110.0,111.4,108.26,111.04,38311000
2025-04-29,110.39,112.78,109.55,112.56,37773000
2025-04-30,111.26,113.32,110.11,113.17,42667000
2025-05-01,112.25,114.24,111.18,113.35,34995000
2025-05-02,113.67,115.94,113.33,115.65,37743000
2025-05-05,111.48,114.4,110.7,113.41,56623000
2025-05-06,112.94,114.77,112.64,113.77,32567000
2025-05-07,113.92,116.4,113.8,115.54,43497000
2025-05-08,116.16,116.23,113.92,114.44,37609000
2025-05-09,114.71,115.1,113.32,114.02,25696000
2025-05-12,112.43,113.0,110.29,111.0,64791000
2025-05-13,111.45,114.79,110.63,113.84,39979000
2025-05-14,112.96,115.29,112.84,115.1,39101000
2025-05-15,114.77,118.78,114.76,117.8,44640000
2025-05-16,119.31,119.65,117.94,119.15,46984000
2025-05-19,117.36,119.16,117.17,119.16,28534000
2025-05-20,118.68,119.3,117.9,119.2,21331000
2025-05-21,118.65,121.12,118.65,119.46,29766000
2025-05-22,119.24,119.88,118.72,118.8,18616000
2025-05-23,118.4,119.14,117.94,118.54,21865000
2025-05-27,119.53,121.18,119.31,121.16,29205000
2025-05-28,121.03,121.59,120.6,120.86,18559000
2025-05-29,120.8,120.9,117.63,118.49,33007000
2025-05-30,119.83,121.18,118.09,120.72,46968000
2025-06-02,120.12,121.94,119.62,121.9,22942000
2025-06-03,121.99,122.96,121.12,121.79,23638000
2025-06-04,122.07,124.26,121.99,123.97,23594000
2025-06-05,124.06,126.28,123.73,125.05,28172000
2025-06-06,125.94,126.0,123.56,124.15,25570000
2025-06-09,123.89,123.89,122.16,122.45,24031000
2025-06-10,122.75,122.75,118.06,120.36,44544000
2025-06-11,120.26,122.83,119.6,121.99,23823000
2025-06-12,122.26,123.0,121.2,121.5,20846000
2025-06-13,120.66,122.06,120.19,121.21,22103000
2025-06-16,121.22,122.62,121.22,122.54,21128000
2025-06-17,122.0,123.24,121.61,122.07,18921000
2025-06-18,123.0,124.2,122.05,122.23,22810000
2025-06-20,123.44,124.85,122.43,123.14,53482000
2025-06-23,123.8,125.48,121.5,125.35,26673000
2025-06-24,126.06,128.26,125.5,127.91,26633000
2025-06-25,128.68,129.8,127.38,127.53,21465000
2025-06-26,128.0,130.73,128.0,130.67,26059000
2025-06-27,130.69,133.13,130.1,132.31,40709000
2025-06-30,133.1,134.12,132.12,133.91,32829000
2025-07-01,133.82,133.88,128.22,129.36,49936000
2025-07-02,129.7,129.99,127.16,128.49,30488000
2025-07-03,129.2,130.23,127.98,129.72,20062000
2025-07-07,129.5,129.5,127.6,128.96,22737000
2025-07-08,129.09,129.32,126.0,127.53,32925000
2025-07-09,127.4,128.83,126.62,128.83,23845000
2025-07-10,128.55,128.96,124.6,125.06,42308000
2025-07-11,125.98,126.1,123.13,124.51,39572000
2025-07-14,124.49,127.05,124.0,126.19,27810000
2025-07-15,126.2,127.12,124.32,126.03,28017000
2025-07-16,126.17,127.1,124.98,125.03,32270000
2025-07-17,125.3,127.75,124.48,127.42,64699000
2025-07-18,124.2,124.65,120.1,120.92,106933000
2025-07-21,120.6,123.71,119.8,123.33,56276000
2025-07-22,123.04,123.24,118.75,119.01,50630000
2025-07-23,118.98,119.26,117.36,117.68,45043000
2025-07-24,117.78,118.35,116.27,118.08,38456000
2025-07-25,117.84,118.73,117.44,118.05,26293000
2025-07-28,118.12,119.78,116.85,117.46,34470000
2025-07-29,117.9,117.96,116.33,116.87,27525000
2025-07-30,116.86,118.49,116.61,118.42,29227000
2025-07-31,118.48,119.0,115.77,115.94,37129000
2025-08-01,116.3,117.85,115.29,115.86,38910000
2025-08-04,116.76,117.7,116.26,117.1,22447000
2025-08-05,117.1,117.17,114.47,114.79,26607000
2025-08-06,115.35,118.14,115.19,117.85,33622000
2025-08-07,118.18,119.12,116.82,118.04,26283000
2025-08-08,118.32,121.41,118.04,121.16,38167000
2025-08-11,121.4,122.31,120.19,121.83,24556000
2025-08-12,122.5,123.2,120.65,122.53,22788000
2025-08-13,123.4,123.71,120.3,120.44,27624000
2025-08-14,120.99,124.41,120.7,123.06,39047000
2025-08-15,123.4,124.69,122.79,123.89,27678000
2025-08-18,123.56,125.12,123.54,124.51,21111000
2025-08-19,124.02,124.1,119.28,121.42,37077000
2025-08-20,121.8,122.3,119.33,121.39,24344000
2025-08-21,121.14,122.14,119.76,120.62,20472000
2025-08-22,120.89,121.36,119.82,120.46,31281000
2025-08-25,120.17,123.38,119.9,121.81,28120000
2025-08-26,122.02,123.15,121.22,122.61,19857000
2025-08-27,122.36,122.92,121.3,122.35,16645000
2025-08-28,122.28,123.79,121.43,123.14,19503000
2025-08-29,122.8,122.88,120.11,120.82,32098000
2025-09-02,119.7,121.54,118.28,121.41,23033000
2025-09-03,120.51,122.7,120.34,122.62,24715000
2025-09-04,122.32,125.75,122.31,125.75,30235000
2025-09-05,126.0,126.71,123.9,124.38,23797000
2025-09-08,124.85,125.2,123.2,124.48,19151000
2025-09-09,124.67,126.57,124.67,126.32,22197000
2025-09-10,126.4,126.7,124.64,124.77,27010000
2025-09-11,125.1,125.35,119.2,120.35,56823000
2025-09-12,120.31,121.18,118.24,118.84,37849000
2025-09-15,118.84,120.72,117.32,120.23,29093000
2025-09-16,120.56,120.9,119.73,120.05,24047000
2025-09-17,122.1,123.39,120.66,122.85,34598000
2025-09-18,122.08,123.3,120.55,120.78,31691000
2025-09-19,121.86,123.0,120.81,122.7,49476000
2025-09-22,122.19,122.98,121.42,122.74,25468000
2025-09-23,122.73,122.78,120.85,121.85,24991000
2025-09-24,121.86,122.15,119.42,120.39,27731000
2025-09-25,120.31,121.68,119.15,120.82,19978000
2025-09-26,120.54,121.4,120.0,121.06,19450000
2025-09-29,120.5,122.45,118.75,120.64,30332000
2025-09-30,120.64,120.85,117.8,119.89,38303000
2025-10-01,117.55,117.91,116.32,117.09,41102000
2025-10-02,116.15,116.33,113.4,116.25,46855000
2025-10-03,116.5,116.8,114.32,115.33,31374000
2025-10-06,116.04,116.36,114.54,116.33,29686000
2025-10-07,117.78,120.14,117.75,119.11,33091000
2025-10-08,119.71,121.74,119.2,121.43,28514000
2025-10-09,121.43,123.75,121.18,123.11,28241000
2025-10-10,122.9,124.7,121.91,122.01,42798000
2025-10-13,122.14,123.11,120.68,121.9,24608000
2025-10-14,121.47,122.43,120.31,121.54,23624000
2025-10-15,121.3,121.96,120.16,120.33,20252000
2025-10-16,121.21,121.67,117.6,118.36,28326000
2025-10-17,118.36,120.31,117.89,119.94,29571000
2025-10-20,120.79,124.78,120.69,123.86,39862000
2025-10-21,124.28,124.86,123.18,124.14,65082000
2025-10-22,114.29,115.76,111.25,111.64,147890000
2025-10-23,112.69,112.78,109.97,111.36,68497000
2025-10-24,111.1,111.45,109.44,109.47,60280000
2025-10-27,110.07,110.23,108.73,109.46,46911000
2025-10-28,109.4,111.7,109.3,110.25,40209000
2025-10-29,109.98,110.86,109.6,110.04,33995000
2025-10-30,109.44,110.62,108.81,108.9,41581000
2025-10-31,110.54,113.49,110.2,111.89,68665000
2025-11-03,113.32,113.35,107.51,110.01,58634000
2025-11-04,110.0,110.46,108.67,109.3,38718000
2025-11-05,108.5,110.08,107.34,109.85,35539000
2025-11-06,109.46,110.37,108.51,109.7,36532000
2025-11-07,109.42,110.82,108.75,110.37,44125000
2025-11-10,110.67,112.82,110.4,112.01,36929000
2025-11-11,111.76,113.92,111.28,113.64,27966000
2025-11-12,113.82,116.43,112.83,115.75,39221000
2025-11-13,115.85,116.73,114.57,115.42,40144000
2025-11-14,114.27,114.27,110.72,111.22,47607000
2025-11-17,110.75,111.85,109.55,110.29,26082700
2025-11-18,110.29,115.25,109.2,114.09,43440600
2025-11-19,113.0,113.34,108.61,110.0,31868100
2025-11-20,111.0,111.1,105.39,105.67,36918500
2025-11-21,105.13,106.53,103.81,104.31,41232700
2025-11-24,104.25,108.04,103.32,106.97,62918300
2025-11-25,106.12,106.3,103.82,104.4,35122600
2025-11-26,105.74,106.95,105.22,106.14,27951000
2025-11-28,106.44,107.94,106.24,107.58,15021600
2025-12-01,106.51,109.34,106.31,109.13,24873400
2025-12-02,109.21,109.73,107.52,109.35,25763000
2025-12-03,106.59,106.87,102.03,103.96,53593400
2025-12-04,103.57,103.8,101.77,103.22,51779100
2025-12-05,98.78,104.79,97.74,100.24,133363600
2025-12-08,99.87,99.89,95.3,96.79,100906300
2025-12-09,97.03,97.24,95.45,96.71,51745600
2025-12-10,96.74,96.97,92.35,92.71,74129300
2025-12-11,93.9,94.82,92.76,94.09,43949000
2025-12-12,95.5,96.92,94.65,95.19,49323100
2025-12-15,96.02,96.37,93.53,93.77,40016500
